Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Datetime,,,,,,,,,,,,,,,
2025-10-29 13:30:00+00:00,270.4200134277344,269.9599914550781,538.1950073242188,271.4100036621094,270.9599914550781,546.27001953125,268.70001220703125,268.42999267578125,537.1701049804688,269.2749938964844,268.6050109863281,544.9400024414062,10209230,4212983,5940543
2025-10-29 14:30:00+00:00,267.6300048828125,271.239990234375,537.6300048828125,270.44500732421875,271.7749938964844,539.5700073242188,267.51220703125,269.6000061035156,537.5,270.4100036621094,269.9700012207031,538.1699829101562,6247839,2694614,2905116
2025-10-29 15:30:00+00:00,268.6199951171875,272.6050109863281,538.405029296875,268.8599853515625,273.1499938964844,539.4199829101562,267.1099853515625,271.1600036621094,536.7286987304688,267.6099853515625,271.25,537.5750122070312,4595121,2126909,2621314
2025-10-29 16:30:00+00:00,269.93011474609375,272.8699951171875,538.8300170898438,269.93011474609375,272.980712890625,539.5798950195312,268.4700927734375,272.30999755859375,538.1300048828125,268.6029968261719,272.6000061035156,538.405029296875,3066081,1489061,1760561
2025-10-29 17:30:00+00:00,270.80999755859375,273.9400939941406,539.8228149414062,270.8500061035156,274.1199951171875,539.9199829101562,269.7900085449219,272.8399963378906,537.9000244140625,269.8900146484375,272.8699035644531,538.6799926757812,4963178,2202197,2162474
2025-10-29 18:30:00+00:00,268.30999755859375,273.7160949707031,538.9000244140625,270.92999267578125,274.3999938964844,540.5499877929688,268.260009765625,271.8800048828125,536.9500122070312,270.7850036621094,274.010009765625,539.8400268554688,5156103,3123174,3517064
2025-10-29 19:30:00+00:00,269.7300109863281,275.8299865722656,542.5599975585938,270.3800048828125,275.9200134277344,543.1500244140625,267.79998779296875,273.55499267578125,538.1799926757812,268.32000732421875,273.70001220703125,538.8200073242188,4325904,3193325,3634678
2025-10-30 13:30:00+00:00,269.0899963378906,289.6650085449219,528.52001953125,274.1400146484375,291.8999938964844,534.969970703125,268.989990234375,280.45001220703125,524.1099853515625,271.989990234375,291.8699951171875,530.4949951171875,8387840,14223409,10090514
