Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT,AAPL,GOOG,MSFT
Datetime,,,,,,,,,,,,,,,
2025-11-03 14:30:00+00:00,267.6300048828125,283.1099853515625,519.4600219726562,270.7799987792969,283.3500061035156,524.9600219726562,266.25,280.375,519.3099975585938,270.4200134277344,282.4700012207031,519.8049926757812,10223517,4971493,4259658
2025-11-03 15:30:00+00:00,266.6400146484375,282.94000244140625,518.6699829101562,268.2799987792969,283.8800048828125,520.3900146484375,266.5,281.80999755859375,518.3900146484375,267.6400146484375,283.0799865722656,519.4099731445312,3102546,1577709,1356149
2025-11-03 16:30:00+00:00,267.5350036621094,282.8399963378906,518.6400146484375,268.1499938964844,284.1000061035156,520.4400024414062,266.5223083496094,282.739990234375,517.77001953125,266.659912109375,282.9700012207031,518.6500244140625,2821699,1006362,1144711
2025-11-03 17:30:00+00:00,267.6780090332031,282.7099914550781,517.4450073242188,268.0,283.67999267578125,519.7999877929688,267.25,282.3450012207031,517.26171875,267.5199890136719,282.75,518.6400756835938,2034109,897827,1062423
2025-11-03 18:30:00+00:00,267.30999755859375,283.29998779296875,516.2150268554688,268.6199951171875,283.875,517.8900146484375,267.30999755859375,282.56500244140625,516.0,267.70989990234375,282.7049865722656,517.4600219726562,2075268,1014491,1128633
2025-11-03 19:30:00+00:00,267.6199951171875,285.1099853515625,515.4400024414062,267.7900085449219,285.94000244140625,516.8800048828125,266.9100036621094,283.2900085449219,515.4199829101562,267.32000732421875,283.29998779296875,516.2000122070312,2243434,1353842,1455877
2025-11-03 20:30:00+00:00,269.05999755859375,284.25,517.0700073242188,269.1099853515625,285.1679992675781,517.1199951171875,267.4599914550781,283.6499938964844,514.5900268554688,267.6300048828125,285.1400146484375,515.4400024414062,3383138,1168232,1804953
2025-11-04 14:30:00+00:00,268.42999267578125,280.2699890136719,514.6300048828125,269.5899963378906,281.07501220703125,515.0900268554688,267.614990234375,276.875,507.8399963378906,268.24249267578125,277.07000732421875,511.8299865722656,9645778,3778209,3452262
